license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1493580,TEMAXCALAPA RESTAURANT,,,3,2919-2921 W 63RD ST ,CHICAGO,IL,60629,41.77895774,-87.69670901,17
1493582,DUNKIN DONUTS / BASKIN ROBBINS,,Restaurant,2,4821 N KEDZIE AVE ,CHICAGO,IL,60625,41.96911042,-87.70834947,33
1493583,BREAD BASKET,,,3,6013 N CICERO AVE ,CHICAGO,IL,60646,41.99031363,-87.7481824,39
1493584,SUPERMERCADO TEPECOA GUERRERO,,Grocery Store,1,3629 W 63RD ST ,CHICAGO,IL,60629,41.77868472,-87.71425166,23
1493596,CANADY LE CHOCOLATIER,,Restaurant,2,824 S WABASH AVE ,CHICAGO,IL,60605,41.8714914,-87.62607612,4
1493599,HWA WON,,Restaurant,1,2519 W PETERSON AVE ,CHICAGO,IL,60659,41.99036796,-87.69298085,40
1493617,LYNDALE FOODS INC.,,Grocery Store,3,3756 W LYNDALE ST ,CHICAGO,IL,60647,41.92191073,-87.72160749,35
1493623,PERSHING CENTER,,Grocery Store,2,243 W PERSHING RD ,CHICAGO,IL,60609,41.8235152,-87.633075,3
1493628,GREAT STEAK & POTATO CO.,,,3,7901 S DAMEN AVE ,CHICAGO,IL,60620,41.75018934,-87.67298584,17
1493645,SUKHADIA SWEETS & SNACKS,,Restaurant,1,2557-2559 W DEVON AVE ,CHICAGO,IL,60659,41.99753951,-87.69461506,50
1493674,ASHOR CAFE,,,2,6310 N WESTERN AVE ,CHICAGO,IL,60659,41.99628183,-87.68998285,50
1493675,TAQUERIA HUANDACREO,,Restaurant,1,3308 W 55TH ST ,CHICAGO,IL,60632,41.79358263,-87.70643689,14
1493698,VINH PHAT B.B.Q.,,,3,4940 N SHERIDAN RD ,CHICAGO,IL,60640,41.97277904,-87.65506329,48
1493766,GREENLINE FOOD,,Grocery Store,2,336 N LARAMIE AVE ,CHICAGO,IL,60644,41.88676298,-87.7554371,37
1493808,PERRY FOOD MART INC,,,3,111 W 115TH ST ,CHICAGO,IL,60628,41.68517594,-87.62582846,34
1493810,LA HACIENDA GRILL,,,3,6837 W BELMONT AVE ,CHICAGO,IL,60634,41.93802668,-87.79720689,36
1493835,PARKSIDE GYROS,,Restaurant,1,7355 N CLARK ST ,CHICAGO,IL,60626,42.01539691,-87.67495035,49
